
TRAIN SET (14663 reactions):
  Ea MAE (neural):      14.67 kcal/mol   |  R²:  0.4782   r:  0.6985
  Ea MAE (physics):     15.59 kcal/mol   |  R²:  0.4220   (baseline)
  Dist MAE:            0.2049 Å      |  std: 0.1021 Å

VALIDATION SET (1629 reactions):
  Ea MAE (neural):      14.82 kcal/mol   |  R²:  0.4807   r:  0.7028
  Ea MAE (physics):     15.75 kcal/mol   |  R²:  0.4212   (baseline)
  Dist MAE:            0.2052 Å      |  std: 0.1051 Å

ALL DATA (16292 reactions):
  Ea MAE (neural):      14.69 kcal/mol   |  R²:  0.4784   r:  0.6989
  Ea MAE (physics):     15.61 kcal/mol   |  R²:  0.4219   (baseline)
  Dist MAE:            0.2049 Å      |  std: 0.1024 Å

Reaction        Split     Ea True    Ea Pred     Ea Err   Dist MAE
rxn000000       train       35.16      33.71       1.45     0.3962
rxn000001       train       26.58      47.23      20.65     0.1598
rxn000002       val         33.89      34.09       0.20     0.1281
rxn000003       train       25.40      51.73      26.33     0.1339
rxn000004       train       47.33      40.13       7.20     0.2467
rxn000005       train       48.02      46.46       1.57     0.1975
rxn000006       train       41.93      42.70       0.77     0.1793
rxn000007       train       59.67      50.36       9.32     0.2352
rxn000008       train       78.67      57.40      21.27     0.2541
rxn000009       train        5.98      18.94      12.96     0.2978
rxn000010       train      103.11      68.00      35.10     0.3914
rxn000011       train       63.83      58.92       4.91     0.2990
rxn000012       val          2.37      13.77      11.40     0.1268
rxn000017       train       75.74      67.44       8.30     0.2150
rxn000018       train        1.84      18.86      17.03     0.0853
rxn000019       train       56.57      60.67       4.10     0.2333
rxn000020       train       21.16      30.32       9.16     0.0926
rxn000021       train       73.68      46.18      27.50     0.2210
rxn000022       train       81.50      45.83      35.67     0.0526
rxn000023       train      128.27      65.20      63.06     0.1639
rxn000024       train       18.28      38.31      20.02     0.1832
rxn000025       train       31.93      13.60      18.33     0.1242
rxn000026       train       17.13      22.46       5.33     0.1984
rxn000027       train       28.51      27.12       1.39     0.0715
rxn000028       val         49.56      46.67       2.90     0.0957
rxn000029       train       34.06      37.10       3.04     0.1023
rxn000030       train       21.63      22.78       1.16     0.0562
rxn000031       train       66.32      45.75      20.58     0.1152
rxn000032       train       40.11      48.00       7.89     0.0987
rxn000033       train       39.48      26.93      12.55     0.2089
rxn000034       train        9.93      25.32      15.39     0.3257
rxn000035       train       18.87      10.48       8.39     0.2495
rxn000036       train        2.81      13.22      10.41     0.1911
rxn000037       train       20.06      32.00      11.95     0.0894
rxn000038       train        9.48      15.21       5.72     0.2766
rxn000039       train       13.64       9.20       4.44     0.2279
rxn000040       train        6.29      21.22      14.93     0.1259
rxn000041       train       51.76      48.94       2.82     0.2068
rxn000042       train       90.91      63.12      27.80     0.3864
rxn000043       train       73.26      48.20      25.06     0.1074
rxn000044       train       48.58      55.35       6.77     0.1198
rxn000045       train       45.38      49.95       4.57     0.1853
rxn000046       train       14.96      33.64      18.69     0.1270
rxn000047       train       90.95      66.79      24.16     0.3932
rxn000048       train       61.35      47.50      13.84     0.1866
rxn000049       val         84.81      47.53      37.28     0.1449
rxn000050       train       81.87      67.41      14.46     0.1456
rxn000051       val         76.96      66.65      10.31     0.3250
rxn000052       train       77.62      62.29      15.33     0.1899
rxn000053       train       16.78      13.57       3.21     0.0977
rxn000054       train       92.97      47.88      45.09     0.1990
rxn000055       train       83.19      43.04      40.15     0.1293
rxn000056       train       38.46      13.87      24.59     0.2180
rxn000057       train       49.86      46.44       3.42     0.1205
rxn000058       train       37.79      62.89      25.10     0.2547
rxn000059       train       47.33      42.84       4.50     0.2855
rxn000060       train       71.25      54.23      17.02     0.4931
rxn000061       train       33.97      31.48       2.49     0.1258
rxn000062       val         39.56      40.35       0.79     0.3289
rxn000063       val         28.51      43.41      14.90     0.1079
rxn000064       train       26.31      52.81      26.49     0.2728
rxn000065       train       67.49      49.74      17.75     0.1956
rxn000066       train       38.09      41.64       3.55     0.3359
rxn000067       train       98.00      40.90      57.09     0.2375
rxn000068       train       36.76      38.06       1.29     0.1646
rxn000069       train       27.90      32.55       4.65     0.4755
rxn000070       train       39.18      50.46      11.28     0.1609
rxn000071       train       22.16      51.47      29.31     0.2190
rxn000072       train       83.03      56.18      26.85     0.3943
rxn000073       train       33.20      41.60       8.41     0.3962
rxn000074       val         23.11      22.43       0.68     0.1007
rxn000075       train       72.02      54.52      17.51     0.3948
rxn000076       train       42.63      58.07      15.43     0.3295
