
TRAIN SET (90 reactions):
  Ea MAE (neural):      21.46 kcal/mol   |  R²: -0.0024   r: -0.3284
  Ea MAE (physics):     16.27 kcal/mol   |  R²:  0.4068   (baseline)
  Dist MAE:            0.2406 Å      |  std: 0.1256 Å

VALIDATION SET (10 reactions):
  Ea MAE (neural):      26.86 kcal/mol   |  R²: -0.0051   r: -0.3711
  Ea MAE (physics):     10.92 kcal/mol   |  R²:  0.8018   (baseline)
  Dist MAE:            0.2377 Å      |  std: 0.1270 Å

ALL DATA (100 reactions):
  Ea MAE (neural):      22.00 kcal/mol   |  R²: -0.0025   r: -0.3336
  Ea MAE (physics):     15.74 kcal/mol   |  R²:  0.4525   (baseline)
  Dist MAE:            0.2403 Å      |  std: 0.1257 Å

Reaction        Split     Ea True    Ea Pred     Ea Err   Dist MAE
rxn000000       train       35.16      47.88      12.72     0.3472
rxn000001       train       26.58      48.03      21.45     0.1857
rxn000002       train       33.89      48.07      14.18     0.1556
rxn000003       train       25.40      47.98      22.57     0.1745
rxn000004       train       47.33      48.09       0.77     0.2194
rxn000005       train       48.02      47.99       0.04     0.1973
rxn000006       train       41.93      47.89       5.96     0.1752
rxn000007       train       59.67      47.86      11.81     0.2387
rxn000008       val         78.67      47.93      30.73     0.3633
rxn000009       train        5.98      47.86      41.88     0.3544
rxn000010       train      103.11      47.96      55.15     0.4411
rxn000011       train       63.83      47.89      15.94     0.2838
rxn000012       train        2.37      47.94      45.57     0.1333
rxn000017       train       75.74      47.82      27.92     0.2098
rxn000018       val          1.84      47.74      45.91     0.0748
rxn000019       train       56.57      47.73       8.83     0.2549
rxn000020       train       21.16      47.73      26.58     0.0963
rxn000021       val         73.68      47.76      25.92     0.4946
rxn000022       train       81.50      47.71      33.79     0.0559
rxn000023       train      128.27      47.79      80.48     0.1897
rxn000024       train       18.28      47.86      29.58     0.2048
rxn000025       train       31.93      47.73      15.80     0.1274
rxn000026       train       17.13      47.98      30.85     0.2059
rxn000027       train       28.51      48.01      19.50     0.0789
rxn000028       train       49.56      48.05       1.51     0.0911
rxn000029       train       34.06      48.00      13.94     0.1225
rxn000030       train       21.63      47.90      26.27     0.0549
rxn000031       train       66.32      47.99      18.33     0.0997
rxn000032       train       40.11      48.06       7.95     0.0986
rxn000033       train       39.48      47.81       8.33     0.2548
rxn000034       val          9.93      48.02      38.09     0.1991
rxn000035       val         18.87      47.98      29.11     0.2460
rxn000036       train        2.81      47.93      45.12     0.2189
rxn000037       train       20.06      48.01      27.95     0.0955
rxn000038       train        9.48      48.02      38.53     0.2343
rxn000039       train       13.64      47.94      34.30     0.2071
rxn000040       train        6.29      48.02      41.73     0.1267
rxn000041       train       51.76      48.06       3.70     0.1701
rxn000042       train       90.91      47.84      43.07     0.3927
rxn000043       train       73.26      47.75      25.51     0.0895
rxn000044       train       48.58      47.75       0.83     0.1326
rxn000045       train       45.38      47.75       2.36     0.2844
rxn000046       train       14.96      47.76      32.80     0.1168
rxn000047       train       90.95      47.78      43.17     0.4153
rxn000048       train       61.35      47.77      13.58     0.2212
rxn000049       train       84.81      47.78      37.03     0.1818
rxn000050       train       81.87      47.79      34.08     0.1848
rxn000051       train       76.96      47.81      29.14     0.2747
rxn000052       val         77.62      47.76      29.85     0.2478
rxn000053       train       16.78      47.77      30.98     0.1054
rxn000054       train       92.97      47.78      45.20     0.3210
rxn000055       train       83.19      47.77      35.42     0.1748
rxn000056       train       38.46      47.77       9.32     0.2035
rxn000057       train       49.86      47.79       2.08     0.1174
rxn000058       train       37.79      47.99      10.20     0.3395
rxn000059       train       47.33      47.95       0.62     0.2981
rxn000060       train       71.25      47.99      23.26     0.4676
rxn000061       val         33.97      48.03      14.06     0.0519
rxn000062       train       39.56      47.96       8.40     0.3752
rxn000063       train       28.51      48.00      19.49     0.0927
rxn000064       train       26.31      48.05      21.74     0.3361
rxn000065       train       67.49      47.97      19.52     0.2289
rxn000066       train       38.09      48.01       9.92     0.4438
rxn000067       train       98.00      47.95      50.04     0.2186
rxn000068       train       36.76      47.96      11.20     0.1352
rxn000069       train       27.90      48.00      20.10     0.5530
rxn000070       train       39.18      47.98       8.80     0.1497
rxn000071       train       22.16      47.98      25.82     0.3506
rxn000072       train       83.03      47.93      35.11     0.5802
rxn000073       train       33.20      47.96      14.77     0.4560
rxn000074       train       23.11      48.00      24.89     0.2631
rxn000075       train       72.02      47.94      24.08     0.4603
rxn000076       train       42.63      47.95       5.32     0.3420
rxn000077       train       40.47      47.90       7.43     0.0941
rxn000078       train       42.38      47.87       5.49     0.3597
rxn000079       train       55.96      47.85       8.11     0.3968
rxn000080       train       51.36      47.96       3.39     0.5066
rxn000081       val         53.75      47.91       5.84     0.2379
rxn000082       train       45.83      47.91       2.08     0.2875
rxn000083       train        6.03      47.88      41.85     0.2362
rxn000084       train       35.39      47.94      12.54     0.1298
rxn000085       train       26.47      47.90      21.43     0.1868
rxn000086       train       38.35      47.90       9.55     0.3499
rxn000087       val         67.53      47.84      19.69     0.3225
rxn000088       train       40.33      47.80       7.47     0.0767
rxn000089       train       66.73      47.80      18.93     0.1363
rxn000090       train       17.22      47.84      30.61     0.2854
rxn000091       train       64.07      47.84      16.23     0.1099
rxn000092       train      103.72      47.81      55.91     0.1901
rxn000093       train       44.28      47.90       3.62     0.2375
rxn000094       train       55.01      47.82       7.20     0.4025
rxn000095       train       73.30      47.81      25.49     0.2572
rxn000096       train      107.16      47.89      59.26     0.4439
rxn000097       train       47.67      47.88       0.20     0.1288
rxn000098       train       63.25      47.83      15.42     0.1616
rxn000099       train       41.99      47.81       5.81     0.3338
rxn000100       train       18.47      47.83      29.36     0.4173
rxn000101       train       75.17      47.82      27.35     0.4262
rxn000102       train       57.85      47.85      10.00     0.0860
rxn000103       val         77.26      47.82      29.44     0.1392
